ID,valor,marca,modelo,ano_produzido,categoria,combustivel,quilometragem,cambio,cor
74,14740,TOYOTA,Prius,2011,Hatchback,Hybrid,288000.0,Automatic,White
75,42337,FORD,Mustang,2016,Cabriolet,Petrol,75000.0,Tiptronic,Silver
76,3763,MERCEDES-BENZ,ML 350,2014,Jeep,Petrol,94362.0,Automatic,White
77,18189,TOYOTA,Prius,2012,Sedan,Petrol,175000.0,Automatic,Silver
78,862,LEXUS,GX 470,2008,Jeep,Petrol,263190.0,Automatic,White
79,220,FORD,Escape,2009,Jeep,Hybrid,193614.0,Automatic,White
80,5645,TOYOTA,Highlander,2010,Jeep,Hybrid,264877.0,Automatic,White
81,7527,TOYOTA,Yaris,2019,Sedan,Petrol,27656.0,Automatic,White
82,21953,HONDA,Civic,2014,Sedan,Hybrid,16000.0,Automatic,White
83,8154,HONDA,Cr-v,1998,Jeep,Petrol,0.0,Automatic,White
84,21953,TOYOTA,Camry,2012,Sedan,Petrol,195053.0,Automatic,Black
85,19121,HYUNDAI,Elantra,2012,Sedan,Petrol,121362.0,Automatic,Black
86,36065,HYUNDAI,Santa FE,2014,Jeep,Diesel,69191.0,Automatic,White
87,8781,HONDA,FIT,2012,Hatchback,Hybrid,83000.0,Tiptronic,Green
88,6247,CHEVROLET,Cruze,2010,Sedan,Petrol,40772.0,Automatic,Black
89,16289,CHEVROLET,Orlando,2012,Jeep,Diesel,172000.0,Automatic,Grey
90,77775,MERCEDES-BENZ,GL 63 AMG,2014,Jeep,Petrol,433811.0,Automatic,Black
91,2822,BMW,520 Vanos,1995,Sedan,Petrol,350000.0,Manual,Blue
92,549,SUBARU,Forester,2012,Jeep,Petrol,148213.0,Automatic,Blue
93,6981,DAEWOO,Lacetti,2008,Sedan,Petrol,103246.0,Automatic,Black
94,27284,HYUNDAI,Elantra,2016,Sedan,Petrol,105394.0,Tiptronic,Black
95,32929,BMW,428 Sport Line,2013,Coupe,Petrol,160000.0,Automatic,Black
96,18817,NISSAN,Patrol,1990,Jeep,Diesel,333333.0,Manual,Black
97,4234,HONDA,Civic,1997,Hatchback,Petrol,0.0,Manual,Blue
98,15053,MERCEDES-BENZ,E 320,2004,Sedan,Petrol,214000.0,Tiptronic,Grey
99,15458,HYUNDAI,Genesis,2009,Coupe,Petrol,123346.0,Automatic,Black
100,2901,CHEVROLET,Cruze,2014,Sedan,Petrol,80827.0,Automatic,Green
101,706,PORSCHE,911,2013,Coupe,Petrol,64464.0,Automatic,Black
102,314,FORD,Fusion,2015,Sedan,Hybrid,91760.0,Automatic,Black
103,15681,LEXUS,GX 460,2010,Jeep,Petrol,275240.0,Automatic,Silver
104,26657,MERCEDES-BENZ,Sprinter,2004,Microbus,Diesel,300000.0,Manual,White
105,10663,TOYOTA,Prius,2007,Hatchback,Petrol,318400.0,Automatic,Silver
106,12858,FORD,Focus SE,2015,Sedan,Petrol,91200.0,Automatic,Sky blue
107,1019,BMW,X5,2013,Jeep,Diesel,137802.0,Automatic,Black
108,549,BMW,535,2013,Sedan,Hybrid,151586.0,Automatic,White
109,12858,KIA,Picanto,2016,Hatchback,Petrol,107000.0,Manual,Silver
110,15000,BMW,328,2008,Sedan,CNG,210408.0,Tiptronic,White
111,85553,FORD,Explorer,2017,Jeep,Petrol,100567.0,Automatic,Black
112,44752,HYUNDAI,H1,2016,Universal,Diesel,86000.0,Automatic,Grey
113,17158,HYUNDAI,Elantra,2010,Sedan,Petrol,122740.0,Automatic,White
114,12231,MITSUBISHI,Airtrek,2005,Jeep,LPG,144000.0,Tiptronic,White
115,11917,MERCEDES-BENZ,E 500 AMG,2003,Sedan,Petrol,150000.0,Tiptronic,White
116,1254,MITSUBISHI,Lancer,1997,Sedan,Petrol,100000.0,Manual,Red
117,94,HONDA,FIT,2003,Hatchback,Petrol,178000.0,Variator,Silver
118,25591,SSANGYONG,Korando,2013,Jeep,Diesel,85704.0,Automatic,Silver
119,14897,HYUNDAI,Santa FE,2010,Jeep,Diesel,58962.0,Automatic,White
120,23521,TOYOTA,Camry,2013,Sedan,Hybrid,90000.0,Tiptronic,White
121,3450,RENAULT,Clio,1995,Hatchback,Petrol,50000.0,Manual,Green
122,706,MAZDA,616,2014,Sedan,Petrol,0.0,Automatic,Red
123,1019,TOYOTA,Highlander,2009,Sedan,Hybrid,318358.0,Automatic,Black
124,16935,FORD,Fusion,2015,Sedan,Petrol,71454.0,Automatic,Black
125,19444,TOYOTA,Camry,2012,Sedan,Petrol,0.0,Tiptronic,Black
126,11604,HYUNDAI,Sonata,2014,Sedan,LPG,346470.0,Automatic,Silver
127,51965,HYUNDAI,Santa FE,2016,Jeep,Diesel,59515.0,Automatic,Blue
128,706,TOYOTA,Camry,2014,Sedan,Hybrid,115312.0,Automatic,Grey
129,9408,MERCEDES-BENZ,C 220,1999,Sedan,Diesel,111111.0,Manual,Silver
130,13328,HYUNDAI,H1,2008,Minivan,Diesel,74444.0,Automatic,Yellow
131,17876,NISSAN,Serena,2012,Minivan,Petrol,143000.0,Tiptronic,White
132,549,NISSAN,Maxima,2004,Sedan,Petrol,299709.0,Automatic,Grey
133,20071,TOYOTA,RAV 4,2008,Jeep,Petrol,135000.0,Automatic,Silver
134,22894,HYUNDAI,H1,2011,Minivan,Diesel,124444.0,Automatic,Yellow
135,2901,HONDA,Civic,2012,Sedan,Hybrid,146403.0,Automatic,White
136,15681,MITSUBISHI,Pajero,1997,Jeep,Petrol,142000.0,Automatic,Blue
137,39829,LEXUS,GX 460,2010,Jeep,Petrol,155821.0,Automatic,Black
138,706,LEXUS,GX 460,2015,Jeep,Petrol,102907.0,Automatic,Black
139,18660,HYUNDAI,Sonata,2013,Sedan,Petrol,130000.0,Tiptronic,Black
140,22580,MERCEDES-BENZ,E 300,2017,Sedan,Petrol,50930.0,Automatic,Black
141,11604,HYUNDAI,Sonata,2014,Sedan,LPG,264872.0,Automatic,Silver
142,314,CHEVROLET,Volt,2014,Hatchback,Hybrid,131893.0,Automatic,Brown
143,5488,GMC,TERRAIN,2013,Jeep,Petrol,138958.0,Automatic,Black
144,4300,MERCEDES-BENZ,208,1985,Universal,Diesel,1111111.0,Manual,Black
145,18817,TOYOTA,Camry,2018,Sedan,Hybrid,35058.0,Automatic,White
146,21169,HONDA,Hr-v EX,2015,Jeep,Petrol,33330.0,Automatic,Grey
147,9095,FIAT,500,2011,Coupe,Petrol,141000.0,Automatic,Red
148,1568,VOLKSWAGEN,Jetta,2014,Sedan,Diesel,82392.0,Automatic,Silver
149,3136,SUBARU,Legacy,2005,Goods wagon,Petrol,180000.0,Tiptronic,Blue
150,17876,HYUNDAI,Elantra sport limited,2013,Sedan,Petrol,117920.0,Tiptronic,Grey
151,11290,HYUNDAI,Sonata,2016,Sedan,LPG,279787.0,Automatic,Silver
152,36065,TOYOTA,Sienna,2010,Minivan,Petrol,227200.0,Tiptronic,White
153,862,TOYOTA,Camry,2014,Sedan,Hybrid,130478.0,Automatic,White
154,21395,HYUNDAI,H1,2012,Universal,Diesel,166144.0,Automatic,Silver
155,15681,HYUNDAI,Sonata,2016,Sedan,LPG,258706.0,Automatic,Silver
156,627,CHEVROLET,Volt,2012,Jeep,Hybrid,188419.0,Automatic,Red
157,40070,TOYOTA,Aqua,2016,Hatchback,Petrol,25807.0,Automatic,Black
158,11917,MERCEDES-BENZ,A 170,2008,Hatchback,Petrol,180000.0,Automatic,Golden
159,72130,LEXUS,NX 300,2018,Jeep,Petrol,18918.0,Tiptronic,Black
160,35927,SSANGYONG,REXTON,2013,Jeep,Diesel,137267.0,Automatic,Silver
161,21012,TOYOTA,Prius,2014,Sedan,Hybrid,160000.0,Automatic,White
162,21012,TOYOTA,Tacoma,2018,Sedan,Petrol,27358.0,Automatic,Grey
163,13172,KIA,Carnival grand,2009,Minivan,Diesel,84176.0,Automatic,White
164,15624,HYUNDAI,Genesis,2011,Coupe,Petrol,107005.0,Automatic,Grey
165,4547,OPEL,Vectra,1997,Sedan,Petrol,15000.0,Manual,Beige
166,5488,INFINITI,QX60,2015,Jeep,Petrol,124154.0,Automatic,Black
167,20005,HYUNDAI,Elantra,2012,Sedan,Petrol,104997.0,Automatic,White
168,36110,VOLKSWAGEN,Passat,2017,Sedan,Petrol,27728.0,Tiptronic,Silver
169,7840,MERCEDES-BENZ,E 240 E 240,1998,Sedan,Petrol,777777.0,Manual,Blue
170,470,MAZDA,1000,2019,Jeep,Petrol,11566.0,Automatic,Black
171,1300,AUDI,50,2018,Coupe,Petrol,4000.0,Tiptronic,Blue
172,43880,HYUNDAI,Santa FE,2016,Jeep,Diesel,113700.0,Automatic,Silver
173,29479,MERCEDES-BENZ,C 250,2014,Sedan,Petrol,69000.0,Tiptronic,Grey
174,17249,TOYOTA,Camry,2011,Sedan,Hybrid,152000.0,Variator,White
175,9408,TOYOTA,Vitz funkargo,2003,Universal,Petrol,181926.0,Automatic,Silver
176,44213,HYUNDAI,Santa FE,2016,Jeep,Diesel,50255.0,Automatic,Red
177,8467,BMW,325,2001,Sedan,Petrol,252800.0,Manual,Grey
178,627,AUDI,A6,2014,Sedan,Petrol,164488.0,Automatic,Silver
179,21950,FORD,Transit,2011,Goods wagon,Diesel,125000.0,Manual,White
180,706,FIAT,500,2012,Hatchback,Petrol,164574.0,Automatic,Red
181,3136,CHEVROLET,Cruze,2014,Sedan,Petrol,156992.0,Automatic,Black
182,3450,OPEL,Vectra,1995,Sedan,CNG,0.0,Manual,White
183,9408,MITSUBISHI,Pajero,1998,Jeep,Petrol,11000.0,Tiptronic,Silver
184,31500,NISSAN,Pathfinder,2010,Jeep,LPG,90200.0,Tiptronic,Black
185,20385,MITSUBISHI,Delica,2005,Minivan,Petrol,184000.0,Automatic,White
186,314,MERCEDES-BENZ,E 350,2014,Sedan,Diesel,149486.0,Automatic,Silver
187,2300,VOLKSWAGEN,Golf,1996,Sedan,CNG,0.0,Manual,Green
188,7840,MERCEDES-BENZ,Vaneo,2004,Universal,LPG,170000.0,Tiptronic,Silver
189,56450,TOYOTA,Camry Se,2018,Sedan,Petrol,25000.0,Tiptronic,Blue
190,1490,VOLKSWAGEN,Jetta,2014,Universal,Diesel,113214.0,Automatic,Grey
191,627,TOYOTA,Tacoma,2012,Sedan,Petrol,394069.0,Automatic,Black
192,314,MERCEDES-BENZ,E 350,2014,Sedan,Diesel,149486.0,Automatic,Silver
193,13172,HONDA,Cr-v,2002,Jeep,Petrol,260000.0,Automatic,Silver
194,19757,NISSAN,Patrol Y60,1990,Jeep,Diesel,222222.0,Manual,Black
195,4704,AUDI,A7,2013,Hatchback,Petrol,301707.0,Automatic,Grey
196,706,HYUNDAI,Sonata,2013,Sedan,Petrol,175827.0,Automatic,Black
197,5802,MERCEDES-BENZ,E 350,2013,Sedan,Diesel,107800.0,Automatic,Grey
198,25716,TOYOTA,Camry,2014,Sedan,Petrol,115200.0,Automatic,Silver
199,14426,CHEVROLET,Orlando,2012,Jeep,LPG,132036.0,Automatic,White
200,10820,TOYOTA,RAV 4,2001,Jeep,Petrol,91000.0,Automatic,Silver
201,45436,FORD,Explorer,2011,Jeep,Petrol,129177.0,Automatic,White
202,11917,HYUNDAI,I30,2008,Hatchback,Diesel,201000.0,Manual,Black
203,41281,HYUNDAI,Santa FE,2015,Jeep,Diesel,185811.0,Automatic,Black
204,4391,NISSAN,Altima,1998,Sedan,Petrol,358400.0,Manual,Brown
205,3058,PORSCHE,Cayenne,2018,Sedan,Petrol,28968.0,Automatic,White
206,3700,ALFA ROMEO,147,2001,Coupe,Petrol,240000.0,Manual,Black
207,15681,SUZUKI,Grand Vitara,2008,Jeep,Petrol,98000.0,Automatic,Black
208,6586,LEXUS,CT 200h,2011,Hatchback,Hybrid,122302.0,Automatic,Black
209,12544,TOYOTA,Prius,2007,Hatchback,Hybrid,140000.0,Automatic,Beige
210,30063,HYUNDAI,Tucson,2014,Jeep,Diesel,120000.0,Automatic,White
211,72130,PORSCHE,Panamera,2010,Hatchback,Petrol,196800.0,Tiptronic,White
212,21639,HYUNDAI,Veloster,2015,Hatchback,Petrol,17200.0,Tiptronic,Red
213,36692,TOYOTA,RAV 4 XLE Sport,2013,Jeep,Petrol,120000.0,Tiptronic,White
214,30,HONDA,FIT,2002,Hatchback,Petrol,0.0,Automatic,Silver
215,12231,TOYOTA,Aqua,2014,Hatchback,Hybrid,66000.0,Variator,Silver
216,3136,TOYOTA,Sienta,2004,Sedan,Petrol,300000.0,Variator,Beige
217,10663,TOYOTA,Prius,2009,Sedan,Hybrid,230000.0,Variator,Grey
218,5620,HONDA,FIT,2013,Hatchback,Petrol,110467.0,Automatic,White
219,19130,MERCEDES-BENZ,CLS 550,2010,Sedan,Petrol,157000.0,Automatic,Grey
220,9408,HONDA,FIT,2012,Hatchback,Hybrid,64000.0,Variator,Black
221,3,HYUNDAI,Elantra,2011,Sedan,Petrol,80000.0,Tiptronic,Grey
222,15367,VOLKSWAGEN,Passat,2013,Sedan,Diesel,179200.0,Tiptronic,White
223,5959,CHEVROLET,Avalanche,2011,Sedan,Petrol,246976.0,Automatic,Black
224,26594,HYUNDAI,H1,2014,Minivan,Diesel,179918.0,Automatic,Silver
225,36065,TOYOTA,Avalon LIMITED,2013,Sedan,Hybrid,92200.0,Tiptronic,Beige
226,26343,KIA,Cerato K3,2016,Sedan,Diesel,29000.0,Tiptronic,Silver
227,549,MAZDA,CX-7,2011,Sedan,Petrol,216550.0,Automatic,Black
228,6000,JEEP,Grand Cherokee,1993,Jeep,Petrol,240000.0,Automatic,Green
229,40142,LEXUS,GX 470,2010,Jeep,Petrol,357246.0,Automatic,Grey
230,14000,HYUNDAI,Elantra,2013,Sedan,Petrol,50000.0,Tiptronic,Grey
231,17923,CHEVROLET,Cruze,2014,Sedan,Petrol,127842.0,Automatic,White
232,54518,HYUNDAI,Tucson,2017,Jeep,Petrol,40193.0,Automatic,Black
233,10349,OPEL,Astra G,2003,Hatchback,Petrol,180000.0,Manual,Silver
234,8154,TOYOTA,Ist,2002,Hatchback,Petrol,115000.0,Automatic,Silver
235,282,FORD,Escape,2008,Jeep,Hybrid,220474.0,Automatic,Grey
236,7527,VOLKSWAGEN,Passat,2013,Sedan,Diesel,132310.0,Automatic,Grey
237,3450,TOYOTA,Camry,2017,Sedan,Petrol,60762.0,Automatic,White
238,22063,HYUNDAI,Tucson,2010,Jeep,Diesel,142264.0,Automatic,White
239,2901,HONDA,Civic,2012,Sedan,Hybrid,146403.0,Automatic,White
240,4704,TOYOTA,Corolla,2013,Sedan,Petrol,227371.0,Automatic,Silver
241,5331,VOLKSWAGEN,Passat,2002,Sedan,Petrol,175000.0,Manual,Grey
242,941,VOLKSWAGEN,Jetta,2012,Sedan,Diesel,203440.0,Automatic,Black
243,16900,HONDA,FIT,2013,Hatchback,Petrol,70000.0,Automatic,Blue
244,18189,NISSAN,Rogue,2010,Jeep,Petrol,122000.0,Automatic,Silver
245,5331,MAZDA,MPV,2000,Minivan,Petrol,127000.0,Automatic,Green
246,42651,MERCEDES-BENZ,GLA 250,2017,Jeep,Petrol,44995.0,Automatic,Black
247,15524,TOYOTA,Prius,2012,Hatchback,Hybrid,122324.0,Automatic,Red
248,17249,BMW,530,2007,Sedan,Petrol,111111.0,Tiptronic,Grey
249,73071,LEXUS,GS 350,2013,Sedan,Petrol,56000.0,Tiptronic,Black
250,862,FORD,Fusion,2014,Sedan,Hybrid,186048.0,Automatic,Black
251,28909,HYUNDAI,Elantra,2017,Sedan,Diesel,98000.0,Automatic,White
252,8467,HYUNDAI,Sonata,2012,Sedan,LPG,573249.0,Automatic,Black
253,50,TOYOTA,Aqua,2013,Sedan,Hybrid,130000.0,Automatic,Sky blue
254,14426,HYUNDAI,Sonata,2014,Sedan,LPG,169024.0,Automatic,White
255,9000,VOLKSWAGEN,Sharan,2011,Minivan,Petrol,126000.0,Automatic,Silver
256,30734,MERCEDES-BENZ,E 350,2014,Sedan,Diesel,200179.0,Automatic,Black
257,22580,TOYOTA,Camry,2013,Sedan,Petrol,156666.0,Automatic,Black
258,862,CHEVROLET,Volt,2014,Jeep,Hybrid,133195.0,Automatic,Black
259,7464,HONDA,FIT,2014,Hatchback,Hybrid,114950.0,Automatic,Blue
260,1333,FORD,Fusion,2016,Sedan,Petrol,154850.0,Automatic,Black
261,59865,HYUNDAI,Tucson,2019,Jeep,Diesel,13000.0,Automatic,White
262,49237,TOYOTA,Tacoma,2017,Jeep,Petrol,94262.0,Automatic,White
263,68223,HYUNDAI,H1,2018,Universal,Diesel,27406.0,Automatic,Yellow
264,392,MERCEDES-BENZ,E 300,2017,Sedan,Petrol,1600.0,Automatic,Black
265,7683,NISSAN,Tiida,2006,Sedan,CNG,200000.0,Variator,Silver
266,22266,FORD,Fusion,2013,Sedan,Petrol,85500.0,Automatic,Black
267,2430,MERCEDES-BENZ,E 350,2008,Sedan,Diesel,175614.0,Automatic,Black
268,282,FORD,Fusion,2014,Sedan,Hybrid,0.0,Automatic,Silver
269,392,NISSAN,Juke,2015,Jeep,Petrol,85944.0,Automatic,Black
270,33556,MERCEDES-BENZ,C 300,2015,Sedan,Petrol,0.0,Automatic,Black
271,39161,SSANGYONG,Actyon,2017,Jeep,Diesel,73000.0,Automatic,White
272,16308,FORD,Transit,2008,Microbus,Diesel,180000.0,Manual,White
273,17719,TOYOTA,Camry,2009,Sedan,Hybrid,92000.0,Tiptronic,Sky blue
274,43278,LEXUS,GX 460,2011,Jeep,Petrol,160138.0,Automatic,White
275,470,HYUNDAI,Santa FE,2012,Jeep,Petrol,197923.0,Automatic,Red
276,20385,CHEVROLET,Cruze,2017,Sedan,Petrol,42000.0,Tiptronic,Black
277,941,TOYOTA,Tundra,2016,Jeep,Petrol,254805.0,Automatic,White
278,49858,HYUNDAI,Tucson,2019,Jeep,Diesel,48000.0,Automatic,White
279,8781,NISSAN,Elgrand,1998,Minivan,Diesel,230000.0,Automatic,White
280,220,MERCEDES-BENZ,C 350,2013,Sedan,Petrol,159250.0,Automatic,Black
281,9722,HYUNDAI,Sonata,2015,Sedan,LPG,582376.0,Automatic,Orange
282,21326,MERCEDES-BENZ,CLS 500,2006,Sedan,Petrol,2000.0,Automatic,Grey
283,51075,HYUNDAI,Tucson,2017,Jeep,Diesel,40800.0,Automatic,White
284,15241,HYUNDAI,Genesis,2011,Coupe,Petrol,117492.0,Automatic,Grey
285,2587,FORD,Fusion,2015,Sedan,Hybrid,88795.0,Automatic,Black
286,15524,HYUNDAI,H1,2008,Minivan,Diesel,56769.0,Automatic,Silver
287,27911,MERCEDES-BENZ,C 250,2014,Sedan,Petrol,70000.0,Tiptronic,Beige
288,4861,TOYOTA,Camry,2013,Sedan,Hybrid,136861.0,Automatic,Blue
289,29793,MERCEDES-BENZ,S 350,2005,Sedan,Petrol,263000.0,Automatic,Black
290,18208,HYUNDAI,Elantra,2012,Sedan,Petrol,95665.0,Automatic,Grey
291,549,HYUNDAI,Sonata,2017,Sedan,Hybrid,107387.0,Automatic,Silver
292,30,NISSAN,Tiida,2006,Hatchback,Petrol,0.0,Automatic,Red
293,34497,TOYOTA,RAV 4 Le,2013,Jeep,Petrol,65350.0,Tiptronic,White
294,6272,OPEL,Zafira,2000,Goods wagon,Petrol,130000.0,Manual,Silver
295,4924,CHEVROLET,Captiva,2007,Jeep,Diesel,183923.0,Automatic,Silver
296,4704,OPEL,Vectra b,2000,Hatchback,Diesel,11111.0,Manual,Red
297,43576,HYUNDAI,H1,2016,Universal,Diesel,97129.0,Automatic,Silver
298,7840,MERCEDES-BENZ,C 200,2001,Sedan,CNG,140000.0,Manual,Black
299,28225,TOYOTA,CHR,2018,Jeep,Petrol,24000.0,Automatic,Grey
300,700,OPEL,Astra,1992,Sedan,Petrol,0.0,Manual,White
301,2352,MAZDA,323,1998,Hatchback,Petrol,300000.0,Manual,Silver
302,18817,CHEVROLET,Cruze,2017,Hatchback,Petrol,29094.0,Automatic,Grey
303,4861,FORD,Fusion,2015,Sedan,Hybrid,148709.0,Automatic,Red
304,13172,LEXUS,RX 450,2010,Jeep,Hybrid,186005.0,Automatic,Silver
305,37320,MERCEDES-BENZ,E 350 ამგ,2013,Sedan,Petrol,156800.0,Tiptronic,Black
306,706,FORD,Escape,2017,Jeep,Petrol,251430.0,Automatic,Blue
307,39201,TOYOTA,Camry,2015,Sedan,Hybrid,35000.0,Automatic,Grey
308,36426,HYUNDAI,Elantra,2018,Sedan,LPG,35643.0,Automatic,White
309,8467,HONDA,Civic,2006,Hatchback,Petrol,250000.0,Manual,Grey
310,7840,MERCEDES-BENZ,CLK 320,2000,Coupe,Petrol,255000.0,Tiptronic,Silver
311,12701,HONDA,Cr-v,2015,Jeep,Petrol,117158.0,Automatic,White
312,8154,SUBARU,Forester,2012,Jeep,Petrol,281659.0,Automatic,Blue
313,46414,TOYOTA,Avalon,2015,Sedan,Hybrid,63645.0,Tiptronic,White
314,45160,MERCEDES-BENZ,ML 250,2015,Jeep,Diesel,197338.0,Automatic,White
315,100,BMW,330,2007,Cabriolet,Petrol,1123.0,Tiptronic,Black
316,100355,AUDI,A7 Prestige,2016,Sedan,Petrol,35000.0,Automatic,Black
317,1176,MITSUBISHI,Colt Lancer,2014,Hatchback,Petrol,136634.0,Automatic,Silver
318,12231,HYUNDAI,Elantra,2013,Coupe,Petrol,77000.0,Manual,Beige
